"PackageId","CurrentVersion","LatestVersion","GitHubOwner","GitHubRepo","GitHubUrl","InstallerUrl","ManifestPath"
"mesonbuild.meson","1.7.0","1.7.1","mesonbuild","meson","https://github.com/mesonbuild/meson","https://github.com/mesonbuild/meson/releases/download/1.7.0/meson-1.7.0-64.msi","\manifests\m\mesonbuild\meson\1.7.0\mesonbuild.meson.installer.yaml"
"Creality.CrealityPrint","6.0.5","6.1.0","CrealityOfficial","CrealityPrint","https://github.com/CrealityOfficial/CrealityPrint","https://github.com/CrealityOfficial/CrealityPrint/releases/download/v6.0.5/CrealityPrint_6.0.5.1840_Release.exe","\manifests\c\Creality\CrealityPrint\6.0.5\Creality.CrealityPrint.installer.yaml"
"Scorpio.stools","1.0.1","1.0.2","qingfeng346","stools","https://github.com/qingfeng346/stools","https://github.com/qingfeng346/stools/releases/download/v1.0.1/stools-1.0.1-win-x64.msi","\manifests\s\Scorpio\stools\1.0.1\Scorpio.stools.installer.yaml"
"gileli121.windowtop","5.22.5","5.26","WindowTop","WindowTop-App","https://github.com/WindowTop/WindowTop-App","https://github.com/WindowTop/WindowTop-App/releases/download/v5.22.5/WindowTop.5.22.5.-.setup.exe","\manifests\g\gileli121\windowtop\5.22.5\gileli121.windowtop.installer.yaml"
"Momento.cli","0.46.0","0.47.0","momentohq","momento-cli","https://github.com/momentohq/momento-cli","https://github.com/momentohq/momento-cli/releases/download/v0.46.0/momento-cli-0.46.0.windows_x64.msi","\manifests\m\Momento\cli\0.46.0\Momento.cli.installer.yaml"
"Telegram.Unigram","10.8.0.9930","11.8","UnigramDev","Unigram","https://github.com/UnigramDev/Unigram","https://github.com/UnigramDev/Unigram/releases/download/v10.8/Unigram_10.8.0.9930_x64.msixbundle","\manifests\t\Telegram\Unigram\10.8.0.9930\Telegram.Unigram.installer.yaml"
"Musescore.Musescore","4.4.4.243461245","4.5.1","musescore","MuseScore","https://github.com/musescore/MuseScore","https://github.com/musescore/MuseScore/releases/download/v4.4.4/MuseScore-Studio-4.4.4.243461245-x86_64.msi","\manifests\m\Musescore\Musescore\4.4.4.243461245\Musescore.Musescore.installer.yaml"
"GamaPlatform.Gama","2025.03.0","1.9.3","gama-platform","gama","https://github.com/gama-platform/gama","https://github.com/gama-platform/gama/releases/download/2025.03.0/GAMA_2025.03.0_Windows_with_JDK_18.03.25_5aac32b.exe","\manifests\g\GamaPlatform\Gama\2025.03.0\GamaPlatform.Gama.installer.yaml"
"katahiromz.RisohEditor","5.8.1","5.8.7","katahiromz","RisohEditor","https://github.com/katahiromz/RisohEditor","https://github.com/katahiromz/RisohEditor/releases/download/5.8.1/RisohEditor-5.8.1-installer.exe","\manifests\k\katahiromz\RisohEditor\5.8.1\katahiromz.RisohEditor.installer.yaml"
"Internxt.Drive","2.0.5","2.5.0","internxt","drive-desktop","https://github.com/internxt/drive-desktop","https://github.com/internxt/drive-desktop/releases/download/v2.0.5/Internxt-Drive-Setup-2.0.5.exe","\manifests\i\Internxt\Drive\2.0.5\Internxt.Drive.installer.yaml"
"GiulioSorrentino.Latorredibabele","3.0.2.2","3.0.2","GiulianoSpaghetti","Solitario.Avalonia","https://github.com/GiulianoSpaghetti/Solitario.Avalonia","https://github.com/GiulianoSpaghetti/Solitario.Avalonia/releases/download/3.0.2/Solitario.Avalonia-3.0.2.2-amd64.msi","\manifests\g\GiulioSorrentino\Latorredibabele\3.0.2.2\GiulioSorrentino.Latorredibabele.installer.yaml"
"Octol1ttle.ElyPrismLauncher","8.4","9.2","Octol1ttle","ElyPrismLauncher","https://github.com/Octol1ttle/ElyPrismLauncher","https://github.com/Octol1ttle/ElyPrismLauncher/releases/download/8.4/PrismLauncher-Windows-MSVC-Setup-8.4.exe","\manifests\o\Octol1ttle\ElyPrismLauncher\8.4\Octol1ttle.ElyPrismLauncher.installer.yaml"
"SFTtech.openage","0.4.0","0.6.0","SFTtech","openage","https://github.com/SFTtech/openage","https://github.com/SFTtech/openage/releases/download/v0.4.0/openage-v0.4.0-x86-installer.exe","\manifests\s\SFTtech\openage\0.4.0\SFTtech.openage.installer.yaml"
"huanghongxun.HelloMinecraftLauncher","3.5.7.245","3.6.12","HMCL-dev","HMCL","https://github.com/HMCL-dev/HMCL","https://github.com/HMCL-dev/HMCL/releases/download/v3.5.7.245/HMCL-3.5.7.245.exe","\manifests\h\huanghongxun\HelloMinecraftLauncher\3.5.7.245\huanghongxun.HelloMinecraftLauncher.installer.yaml"
"NhekoReborn.Nheko","0.11.3","0.12.0","Nheko-Reborn","nheko","https://github.com/Nheko-Reborn/nheko","https://github.com/Nheko-Reborn/nheko/releases/download/v0.11.3/nheko-v0.11.3-installer.exe","\manifests\n\NhekoReborn\Nheko\0.11.3\NhekoReborn.Nheko.installer.yaml"
"browsh.browsh","1.8.2","1.8.3","browsh-org","browsh","https://github.com/browsh-org/browsh","https://github.com/browsh-org/browsh/releases/download/v1.8.2/browsh_1.8.2_windows_386.exe","\manifests\b\browsh\browsh\1.8.2\browsh.browsh.installer.yaml"
"PopcornTime.Popcorn-Time","0.4.9","0.5.1","popcorn-official","popcorn-desktop","https://github.com/popcorn-official/popcorn-desktop","https://github.com/popcorn-official/popcorn-desktop/releases/download/v0.4.9/Popcorn-Time-0.4.9-win64-Setup.exe","\manifests\p\PopcornTime\Popcorn-Time\0.4.9\PopcornTime.Popcorn-Time.installer.yaml"
"Telegram.TelegramDesktop.Beta","4.6.4","5.13.1","telegramdesktop","tdesktop","https://github.com/telegramdesktop/tdesktop","https://github.com/telegramdesktop/tdesktop/releases/download/v4.6.4/tsetup-x64.4.6.4.beta.exe","\manifests\t\Telegram\TelegramDesktop\Beta\4.6.4\Telegram.TelegramDesktop.Beta.installer.yaml"
"Bostrot.WSLManager","1.8.14","1.8.15","bostrot","wsl2-distro-manager","https://github.com/bostrot/wsl2-distro-manager","https://github.com/bostrot/wsl2-distro-manager/releases/download/v1.8.14/wsl2-distro-manager-v1.8.14.zip","\manifests\b\Bostrot\WSLManager\1.8.14\Bostrot.WSLManager.installer.yaml"
"RedCodeLabs.easyWSL","0.1.8.0","1.8.0","redcode-labs","easyWSL","https://github.com/redcode-labs/easyWSL","https://github.com/redcode-labs/easyWSL/releases/download/1.8.0/27302RedCodeLabs.easyWSL_0.1.8.0_x64__m9ag49q0nrza2.Msix","\manifests\r\RedCodeLabs\easyWSL\0.1.8.0\RedCodeLabs.easyWSL.installer.yaml"
"Rainmeter.Rainmeter","4.5.21","4.5.21.3816","rainmeter","rainmeter","https://github.com/rainmeter/rainmeter","https://github.com/rainmeter/rainmeter/releases/download/v4.5.21.3816/Rainmeter-4.5.21.exe","\manifests\r\Rainmeter\Rainmeter\4.5.21\Rainmeter.Rainmeter.installer.yaml"
"donkrage.regpack","1.52","1.56","donkrage","regpack","https://github.com/donkrage/regpack","https://github.com/donkrage/regpack/releases/download/1.52/regpack-1.52.exe","\manifests\d\donkrage\regpack\1.52\donkrage.regpack.installer.yaml"
"TeamProwlarr.Prowlarr","1.32.2","1.32.2.4987","Prowlarr","Prowlarr","https://github.com/Prowlarr/Prowlarr","https://github.com/Prowlarr/Prowlarr/releases/download/v1.32.2.4987/Prowlarr.master.1.32.2.4987.windows-core-x86-installer.exe","\manifests\t\TeamProwlarr\Prowlarr\1.32.2\TeamProwlarr.Prowlarr.installer.yaml"
"dnGrep.dnGrep","4.3.3.0","4.4.9.0","dnGrep","dnGrep","https://github.com/dnGrep/dnGrep","https://github.com/dnGrep/dnGrep/releases/download/v4.3.3.0/dnGREP.4.3.3.x86.msi","\manifests\d\dnGrep\dnGrep\4.3.3.0\dnGrep.dnGrep.installer.yaml"
"LinuxSuRen.HTTPdownloader","0.0.89","0.0.98","LinuxSuRen","http-downloader","https://github.com/LinuxSuRen/http-downloader","https://github.com/LinuxSuRen/http-downloader/releases/download/v0.0.89/hd-windows-amd64.msi","\manifests\l\LinuxSuRen\HTTPdownloader\0.0.89\LinuxSuRen.HTTPdownloader.installer.yaml"
"JavaLikeScript.LuaJLS","0.7.3","0.8.2","javalikescript","luajls","https://github.com/javalikescript/luajls","https://github.com/javalikescript/luajls/releases/download/0.7.3/luajls-5.4-x86_64-windows.20230518.zip","\manifests\j\JavaLikeScript\LuaJLS\0.7.3\JavaLikeScript.LuaJLS.installer.yaml"
"mthom.ScryerProlog","0.9.3","0.9.4","mthom","scryer-prolog","https://github.com/mthom/scryer-prolog","https://github.com/mthom/scryer-prolog/releases/download/v0.9.3/scryer-prolog_windows-latest.zip","\manifests\m\mthom\ScryerProlog\0.9.3\mthom.ScryerProlog.installer.yaml"
"Ytmdesktop.Ytmdesktop","2.0.5","2.0.8","ytmdesktop","ytmdesktop","https://github.com/ytmdesktop/ytmdesktop","https://github.com/ytmdesktop/ytmdesktop/releases/download/v2.0.5/YouTube-Music.Desktop.App-2.0.5.Setup.exe","\manifests\y\Ytmdesktop\Ytmdesktop\2.0.5\Ytmdesktop.Ytmdesktop.installer.yaml"
"RevoLand.Steam-Library-Manager","1.7.1","1.7.2.0","RevoLand","Steam-Library-Manager","https://github.com/RevoLand/Steam-Library-Manager","https://github.com/RevoLand/Steam-Library-Manager/releases/download/v1.7.1.0/Steam.Library.Manager.zip","\manifests\r\RevoLand\Steam-Library-Manager\1.7.1\RevoLand.Steam-Library-Manager.installer.yaml"
"FireCubeStudios.WinverUWP","2.1.4.0","2.1.0.0","dongle-the-gadget","WinverUWP","https://github.com/dongle-the-gadget/WinverUWP","https://github.com/dongle-the-gadget/WinverUWP/releases/download/v2.1.0.0/2505FireCubeStudios.WinverUWP_2.1.4.0_neutral_._k45w5yt88e21j.AppxBundle","\manifests\f\FireCubeStudios\WinverUWP\2.1.4.0\FireCubeStudios.WinverUWP.installer.yaml"
"Microsoft.AppInstallerFileBuilder","1.2020.221.0","2.0","microsoft","MSIX-Toolkit","https://github.com/microsoft/MSIX-Toolkit","https://github.com/microsoft/MSIX-Toolkit/releases/download/1.3.4/AppInstallerFileBuilder_1.2020.221.0_x86.msix","\manifests\m\Microsoft\AppInstallerFileBuilder\1.2020.221.0\Microsoft.AppInstallerFileBuilder.installer.yaml"
